Title,Rating,Year,Month,Runtime,Directors,Budget,Income,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,Top_50_Director,Lead,Supporting,Lead_Top,Supporting_Top
Nope,6.9,2022,7,130,Jordan Peele,68000000.0,171235592.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,Daniel Kaluuya, Keke Palmer,0,0
Where the Crawdads Sing,7.1,2022,7,125,Olivia Newman,24000000.0,140230760.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,Daisy Edgar Jones, Taylor John Smith,0,0
Scream,6.3,2022,1,114,Matt Bettinelli-Olpin,24000000.0,140041405.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,Neve Campbell, Courteney Cox,1,0
Strange World,5.1,2022,11,102,Don Hall,120000000.0,62170845.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jake Gyllenhaal, Jaboukie Young White,1,0
The Woman King,6.7,2022,9,135,Gina Prince-Bythewood,50000000.0,92272486.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Viola Davis, Thuso Mbedu,1,0
White Noise,6.6,2022,12,136,Noah Baumbach,80000000.0,70459.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Adam Driver, Greta Gerwig,1,0
Thor: Love and Thunder,6.3,2022,7,118,Taika Waititi,250000000.0,760928081.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chris Hemsworth, Natalie Portman,1,0
Devotion,7.0,2022,11,139,J. D. Dillard,90000000.0,19949405.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Jonathan Majors, Glen Powell,0,0
Terrifier 2,6.2,2022,10,138,Damien Leone,250000.0,12150025.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Lauren LaVera, David Howard Thornton,0,0
See How They Run,6.5,2022,9,98,Tom George,40000000.0,21966634.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Kieran Hodgson, Pearl Chanda,0,0
