Title,Rating,Year,Month,Runtime,Directors,Budget,Income,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,Top_50_Director,Lead,Supporting,Lead_Top,Supporting_Top
Only the Brave,7.6,2017,10,134,Joseph Kosinski,38000000.0,26351322.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Josh Brolin, Miles Teller,1,0
Finding Your Feet,6.7,2017,3,111,Richard Loncraine,6534000.0,15775555.0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Imelda Staunton, Celia Imrie,1,0
Before I Fall,6.4,2017,3,98,Ry Russo Young,5000000.0,16373843.0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,Zoey Deutch, Halston Sage,0,0
The Disaster Artist,7.3,2017,12,104,James Franco,10000000.0,29820616.0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,James Franco, Dave Franco,1,0
Thoroughbreds,6.6,2017,3,92,Cory Finley,6000000.0,3187255.0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Olivia Cooke, Anya Taylor Joy,0,0
The Florida Project,7.6,2017,11,111,Sean Baker,2000000.0,10954677.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brooklynn Prince, Bria Vinaite,0,0
The Hitman's Bodyguard,6.9,2017,8,118,Patrick Hughes,30000000.0,183428689.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ryan Reynolds, Samuel L Jackson,1,0
Geostorm,5.3,2017,10,109,Dean Devlin,120000000.0,221600160.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,Gerard Butler, Jim Sturgess,1,0
Happy Death Day,6.6,2017,10,96,Christopher Landon,4800000.0,125479266.0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,Jessica Rothe, Israel Broussard,0,0
Downsizing,5.8,2017,12,135,Alexander Payne,68000000.0,55003890.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Matt Damon, Christoph Waltz,1,0
Office Christmas Party,5.9,2016,12,105,Josh Gordon,45000000.0,114501299.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jason Bateman, Olivia Munn,1,0
Rogue One: A Star Wars Story,7.8,2016,12,133,Gareth Edwards,200000000.0,1058682142.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Felicity Jones, Diego Luna,1,0
Zoolander 2,4.7,2016,2,101,Ben Stiller,50000000.0,56722693.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ben Stiller, Owen Wilson,1,0
Split,7.3,2016,1,117,M Night Shyamalan,9000000.0,278454417.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,James McAvoy, Anya Taylor Joy,1,0
Terrifier,5.6,2016,3,85,Damien Leone,35000.0,76376.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Jenna Kanell, Samantha Scaffidi,0,0
Nocturnal Animals,7.5,2016,12,116,Tom Ford,22500000.0,30311857.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Amy Adams, Jake Gyllenhaal,1,0
Storks,6.8,2016,9,87,Nicholas Stoller,70000000.0,183510278.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Andy Samberg, Katie Crown,1,0
La La Land,8.0,2016,12,128,Damien Chazelle,30000000.0,471227161.0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Ryan Gosling, Emma Stone,1,0
Suicide Squad,5.9,2016,8,123,David Ayer,175000000.0,746846894.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Will Smith, Jared Leto,1,0
Deadpool,8.0,2016,2,108,Tim Miller,58000000.0,782836791.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ryan Reynolds, Morena Baccarin,1,0
Hacksaw Ridge,8.1,2016,11,139,Mel Gibson,40000000.0,180563636.0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Andrew Garfield, Sam Worthington,1,0
Arrival,7.9,2016,11,116,Denis Villeneuve,47000000.0,203388186.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,Amy Adams, Jeremy Renner,1,0
Me Before You,7.4,2016,6,106,Thea Sharrock,20000000.0,208314186.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Emilia Clarke, Sam Claflin,1,0
The Nice Guys,7.3,2016,5,116,Shane Black,50000000.0,62788218.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Russell Crowe, Ryan Gosling,1,0
Sing,7.1,2016,12,108,Garth Jennings,75000000.0,634338384.0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matthew McConaughey, Reese Witherspoon,1,0
Bad Moms,6.2,2016,7,100,Jon Lucas,20000000.0,183936074.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mila Kunis, Kathryn Hahn,1,0
Zootopia,8.0,2016,3,108,Byron Howard,150000000.0,1042533689.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ginnifer Goodwin, Jason Bateman,1,0
Hell or High Water,7.6,2016,8,102,David Mackenzie,12000000.0,37999675.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Chris Pine, Ben Foster,1,0
Sausage Party,6.1,2016,8,89,Greg Tiernan,19000000.0,140705322.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Seth Rogen, Kristen Wiig,1,0
Manchester by the Sea,7.8,2016,12,137,Kenneth Lonergan,9000000.0,78988148.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Casey Affleck, Michelle Williams,1,0
Batman v Superman: Dawn of Justice,6.4,2016,3,151,Zack Snyder,250000000.0,873637528.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Ben Affleck, Henry Cavill,1,0
Bad Santa 2,5.6,2016,11,92,Mark Waters,26000000.0,24079268.0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Billy Bob Thornton, Kathy Bates,1,0
13 Hours,7.3,2016,1,144,Michael Bay,50000000.0,69411370.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,John Krasinski, Pablo Schreiber,1,0
Moana,7.6,2016,11,107,Ron Clements,150000000.0,665069139.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Auli i Cravalho, Dwayne Johnson,0,0
Your Name.,8.4,2016,4,106,Makoto Shinkai,2775000.0,358180115.0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Ry nosuke Kamiki, Mone Kamishiraishi,0,0
The Magnificent Seven,6.8,2016,9,132,Antoine Fuqua,90000000.0,162360636.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Denzel Washington, Chris Pratt,1,0
10 Cloverfield Lane,7.2,2016,3,103,Dan Trachtenberg,15000000.0,110216998.0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,John Goodman, Mary Elizabeth Winstead,1,0
Miss Peregrine's Home for Peculiar Children,6.7,2016,9,127,Tim Burton,110000000.0,296482446.0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Eva Green, Asa Butterfield,1,0
Hidden Figures,7.8,2016,1,127,Theodore Melfi,25000000.0,235956898.0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Taraji P Henson, Octavia Spencer,0,0
The Edge of Seventeen,7.3,2016,11,104,Kelly Fremon Craig,9000000.0,19370020.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hailee Steinfeld, Haley Lu Richardson,1,0
The Invisible Guest,8.0,2016,1,106,Oriol Paulo,4240000.0,31191910.0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Mario Casas, Ana Wagener,0,0
Doctor Strange,7.5,2016,11,115,Scott Derrickson,165000000.0,677796076.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Benedict Cumberbatch, Chiwetel Ejiofor,1,0
Captain America: Civil War,7.8,2016,5,147,Anthony Russo,250000000.0,1153337496.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Chris Evans, Robert Downey Jr ,1,0
Passengers,7.0,2016,12,116,Morten Tyldum,110000000.0,303144152.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Jennifer Lawrence, Chris Pratt,1,0
Fences,7.2,2016,12,139,Denzel Washington,24000000.0,64414761.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Denzel Washington, Viola Davis,1,0
Moonlight,7.4,2016,11,111,Barry Jenkins,4000000.0,65336603.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mahershala Ali, Naomie Harris,1,0
Fantastic Beasts and Where to Find Them,7.2,2016,11,132,David Yates,180000000.0,814044001.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Eddie Redmayne, Katherine Waterston,1,0
Warcraft,6.7,2016,6,123,Duncan Jones,160000000.0,439048914.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Travis Fimmel, Paula Patton,0,0
The Girl on the Train,6.5,2016,10,112,Tate Taylor,45000000.0,173185859.0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Emily Blunt, Haley Bennett,1,0
X-Men: Apocalypse,6.9,2016,5,144,Bryan Singer,178000000.0,543934105.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,James McAvoy, Michael Fassbender,1,0
Star Trek Beyond,7.0,2016,7,122,Justin Lin,185000000.0,343471816.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Chris Pine, Zachary Quinto,1,0
The Accountant,7.3,2016,10,128,Gavin O Connor,44000000.0,155160045.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Ben Affleck, Anna Kendrick,1,0
Ghostbusters: Answer the Call,6.9,2016,7,117,Paul Feig,144000000.0,229147509.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Melissa McCarthy, Kristen Wiig,1,0
Central Intelligence,6.3,2016,6,107,Rawson Marshall Thurber,50000000.0,216972543.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dwayne Johnson, Kevin Hart,1,0
Don't Breathe,7.1,2016,8,88,Fede Alvarez,9900000.0,157761002.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Stephen Lang, Jane Levy,0,0
A Cure for Wellness,6.4,2016,2,146,Gore Verbinski,40000000.0,26620002.0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Dane DeHaan, Jason Isaacs,0,0
Captain Fantastic,7.8,2016,7,118,Matt Ross,5000000.0,23123592.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Viggo Mortensen, George MacKay,1,0
Swiss Army Man,6.9,2016,7,97,Daniel Kwan,3000000.0,4935501.0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Paul Dano, Daniel Radcliffe,1,0
Everybody Wants Some!!,6.9,2016,4,117,Richard Linklater,10000000.0,4644472.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Blake Jenner, Tyler Hoechlin,0,0
The Bad Batch,5.2,2016,6,118,Ana Lily Amirpour,6000000.0,201890.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,Suki Waterhouse, Jason Momoa,0,0
Independence Day: Resurgence,5.2,2016,6,120,Roland Emmerich,165000000.0,389681935.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Liam Hemsworth, Jeff Goldblum,1,0
The Legend of Tarzan,6.2,2016,7,110,David Yates,180000000.0,356700357.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alexander Skarsg rd, Rory J Saper,0,0
War Dogs,7.1,2016,8,114,Todd Phillips,40000000.0,86234523.0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jonah Hill, Miles Teller,1,0
Dirty Grandpa,5.9,2016,1,102,Dan Mazer,25000000.0,94073028.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Robert De Niro, Zac Efron,1,0
The Conjuring 2,7.3,2016,6,134,James Wan,40000000.0,321834351.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,Vera Farmiga, Patrick Wilson,1,0
Jason Bourne,6.6,2016,7,123,Paul Greengrass,120000000.0,415484914.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Matt Damon, Tommy Lee Jones,1,0
Why Him?,6.2,2016,12,111,John Hamburg,38000000.0,118102725.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zoey Deutch, James Franco,0,0
Almost Christmas,6.1,2016,11,111,David E Talbert,17000000.0,42580920.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Kimberly Elise, Omar Epps,0,0
Raw,7.0,2016,3,99,Julia Ducournau,3710000.0,3096815.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Garance Marillier, Ella Rumpf,0,0
The 5th Wave,5.2,2016,1,112,J Blakeson,38000000.0,109906372.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Chlo Grace Moretz, Matthew Zuk,0,0
Now You See Me 2,6.4,2016,6,129,Jon M Chu,90000000.0,334897606.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jesse Eisenberg, Mark Ruffalo,1,0
The Neon Demon,6.1,2016,6,117,Nicolas Winding Refn,7000000.0,3073700.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Elle Fanning, Christina Hendricks,0,0
Lion,8.0,2016,1,118,Garth Davis,12000000.0,140853810.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dev Patel, Nicole Kidman,0,0
Silence,7.1,2016,1,161,Martin Scorsese,46000000.0,23834809.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Andrew Garfield, Adam Driver,1,0
Gods of Egypt,5.4,2016,2,127,Alex Proyas,140000000.0,150680864.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Brenton Thwaites, Nikolaj Coster Waldau,0,0
Allied,7.1,2016,11,124,Robert Zemeckis,85000000.0,119520023.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Brad Pitt, Marion Cotillard,1,0
Jack Reacher: Never Go Back,6.1,2016,10,118,Edward Zwick,60000000.0,162146076.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tom Cruise, Cobie Smulders,1,0
The Founder,7.2,2016,1,115,John Lee Hancock,25000000.0,24121245.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Michael Keaton, Nick Offerman,1,0
Teenage Mutant Ninja Turtles: Out of the Shadows,5.9,2016,6,112,Dave Green,135000000.0,245623848.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Megan Fox, Will Arnett,1,0
Mike and Dave Need Wedding Dates,6.0,2016,7,98,Jake Szymanski,33000000.0,77068246.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Zac Efron, Adam Devine,0,0
The Jungle Book,7.4,2016,4,106,Jon Favreau,175000000.0,966554929.0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Neel Sethi, Bill Murray,0,0
Trolls,6.4,2016,11,92,Mike Mitchell,125000000.0,347182886.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anna Kendrick, Justin Timberlake,1,0
How to Be Single,6.1,2016,2,110,Christian Ditter,38000000.0,112343513.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Dakota Johnson, Rebel Wilson,1,0
The Great Wall,5.9,2016,2,103,Yimou Zhang,150000000.0,334933831.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Matt Damon, Tian Jing,1,0
The Brothers Grimsby,6.2,2016,3,83,Louis Leterrier,35000000.0,27979040.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sacha Baron Cohen, Mark Strong,1,0
The Lost City of Z,6.6,2016,4,141,James Gray,30000000.0,19263938.0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Charlie Hunnam, Robert Pattinson,1,0
Pride and Prejudice and Zombies,5.8,2016,2,108,Burr Steers,28000000.0,16457494.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Lily James, Sam Riley,0,0
"Hail, Caesar!",6.3,2016,2,106,Ethan Coen,22000000.0,63945241.0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Josh Brolin, George Clooney,1,0
Sully,7.4,2016,9,96,Clint Eastwood,60000000.0,240797623.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tom Hanks, Aaron Eckhart,1,0
Lady Macbeth,6.8,2016,7,89,William Oldroyd,605000.0,5343632.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Florence Pugh, Cosmo Jarvis,1,0
Assassin's Creed,5.6,2016,12,115,Justin Kurzel,125000000.0,240697856.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Michael Fassbender, Marion Cotillard,1,0
Inferno,6.2,2016,10,121,Ron Howard,75000000.0,220021259.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tom Hanks, Felicity Jones,1,0
Miss Sloane,7.5,2016,12,132,John Madden,13000000.0,9101546.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jessica Chastain, Mark Strong,1,0
The Shallows,6.3,2016,6,86,Jaume Collet Serra,17000000.0,119100758.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Blake Lively, scar Jaenada,1,0
The Wailing,7.4,2016,6,156,Na Hong jin,6420000.0,49851770.0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,Jun Kunimura, Hwang Jung min,0,0
London Has Fallen,5.9,2016,3,99,Babak Najafi,60000000.0,205754447.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Gerard Butler, Aaron Eckhart,1,0
Brimstone,7.0,2016,1,148,Martin Koolhoven,12720000.0,2140941.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,Guy Pearce, Dakota Fanning,1,0
Kung Fu Panda 3,7.1,2016,1,95,Alessandro Carloni,145000000.0,521170825.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jack Black, Bryan Cranston,1,0
Allegiant,5.7,2016,3,120,Robert Schwentke,110000000.0,179246868.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Shailene Woodley, Theo James,1,0
Krampus,6.2,2015,12,98,Michael Dougherty,15000000.0,61548707.0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Adam Scott, Toni Collette,0,0
Burnt,6.6,2015,10,101,John Wells,20000000.0,36606743.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bradley Cooper, Sienna Miller,1,0
The Night Before,6.4,2015,11,101,Jonathan Levine,25000000.0,52395996.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Joseph Gordon Levitt, Seth Rogen,0,0
The Big Short,7.8,2015,12,130,Adam McKay,28000000.0,133440870.0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Christian Bale, Steve Carell,1,0
Fifty Shades of Grey,4.1,2015,2,125,Sam Taylor Johnson,40000000.0,569651467.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,Dakota Johnson, Jamie Dornan,1,0
Love,6.1,2015,10,135,Gaspar No,3000000.0,861057.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Aomi Muyock, Karl Glusman,0,0
The Hateful Eight,7.8,2015,12,168,Quentin Tarantino,44000000.0,156480177.0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Samuel L Jackson, Kurt Russell,0,0
Mad Max: Fury Road,8.1,2015,5,120,George Miller,150000000.0,415261382.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Tom Hardy, Charlize Theron,1,0
Sicario,7.6,2015,10,121,Denis Villeneuve,30000000.0,84997446.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Emily Blunt, Josh Brolin,1,0
The VVitch: A New-England Folktale,6.9,2015,2,92,Robert Eggers,4000000.0,40423945.0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Anya Taylor Joy, Ralph Ineson,0,0
The Revenant,8.0,2015,1,156,Alejandro G I rritu,135000000.0,532950503.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Leonardo DiCaprio, Tom Hardy,1,0
Star Wars: Episode VII - The Force Awakens,7.8,2015,12,138,J J Abrams,245000000.0,2069521700.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Daisy Ridley, John Boyega,0,0
Love the Coopers,5.8,2015,11,107,Jessie Nelson,17000000.0,42426912.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,Steve Martin, Diane Keaton,1,0
Legend,6.9,2015,11,132,Brian Helgeland,30000000.0,42972994.0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tom Hardy, Emily Browning,1,0
The Martian,8.0,2015,10,144,Ridley Scott,108000000.0,630620818.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Matt Damon, Jessica Chastain,1,0
The Lobster,7.1,2015,10,119,Yorgos Lanthimos,4240000.0,15509546.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Colin Farrell, Rachel Weisz,1,0
The Man from U.N.C.L.E.,7.2,2015,8,116,Guy Ritchie,75000000.0,107045109.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Henry Cavill, Armie Hammer,1,0
Spotlight,8.1,2015,11,129,Tom McCarthy,20000000.0,98690254.0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mark Ruffalo, Michael Keaton,1,0
Southpaw,7.3,2015,7,124,Antoine Fuqua,30000000.0,91970827.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jake Gyllenhaal, Rachel McAdams,1,0
Avengers: Age of Ultron,7.3,2015,5,141,Joss Whedon,250000000.0,1402809540.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Robert Downey Jr , Chris Evans,0,0
Jurassic World,6.9,2015,6,124,Colin Trevorrow,150000000.0,1671537444.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Chris Pratt, Bryce Dallas Howard,1,0
Vacation,6.1,2015,7,99,John Francis Daley,31000000.0,107228221.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ed Helms, Christina Applegate,1,0
Inside Out,8.2,2015,6,95,Pete Docter,175000000.0,858848019.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Amy Poehler, Bill Hader,1,0
Carol,7.2,2015,1,118,Todd Haynes,11800000.0,40272135.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Cate Blanchett, Rooney Mara,1,0
The Age of Adaline,7.2,2015,4,112,Lee Toland Krieger,25000000.0,65663276.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,Blake Lively, Michiel Huisman,1,0
Room,8.1,2015,1,118,Lenny Abrahamson,13000000.0,35401758.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Brie Larson, Jacob Tremblay,1,0
Everest,7.1,2015,9,121,Baltasar Korm kur,55000000.0,203427584.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jason Clarke, Ang Phula Sherpa,0,0
Spectre,6.8,2015,11,148,Sam Mendes,245000000.0,880705312.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Daniel Craig, Christoph Waltz,1,0
Magic Mike XXL,5.6,2015,7,115,Gregory Jacobs,14800000.0,117813057.0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Channing Tatum, Joe Manganiello,1,0
Pitch Perfect 2,6.4,2015,5,115,Elizabeth Banks,29000000.0,287144079.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Anna Kendrick, Rebel Wilson,1,0
The Hunger Games: Mockingjay - Part 2,6.5,2015,11,137,Francis Lawrence,160000000.0,653428261.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Jennifer Lawrence, Josh Hutcherson,1,0
Ant-Man,7.3,2015,7,117,Peyton Reed,130000000.0,519311965.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Paul Rudd, Michael Douglas,1,0
Daddy's Home,6.1,2015,12,96,Sean Anders,50000000.0,242786137.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Will Ferrell, Mark Wahlberg,1,0
Maze Runner: The Scorch Trials,6.3,2015,9,131,Wes Ball,61000000.0,312296056.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Dylan O Brien, Kaya Scodelario,0,0
Green Room,7.0,2015,5,95,Jeremy Saulnier,5000000.0,3769214.0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Anton Yelchin, Imogen Poots,0,0
