Title,Rating,Year,Month,Certificate,Runtime,Directors,Stars,Country_of_origin,top_50_director_1,top_50_director_2,top_1000_Stars_1,top_1000_Stars_2,top_1000_Stars_3,top_1000_Stars_4,genre_Action,genre_Adventure,genre_Animation,genre_Biography,genre_Comedy,genre_Crime,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Musical,genre_Mystery,genre_Romance,genre_Sci-Fi,genre_Sport,genre_Thriller,genre_War,genre_Western,Budget_inf,Income_inf,Profit_inf,ROI_inf
Ready Player One,7.4,2018,3,PG-13,140.0,Steven Spielberg,"Tye Sheridan, Olivia Cooke, Ben Mendelsohn, Lena Waithe","United States, India",1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,193455515.0,644393520.77,450938005.77,0.6997866850541331
Mission: Impossible - Fallout,7.7,2018,7,PG-13,147.0,Christopher McQuarrie,"Tom Cruise, Henry Cavill, Ving Rhames, Simon Pegg","United States, China, France, Norway, United Kingdom",0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,196771895.25,875145655.04,678373759.79,0.7751552623077284
Peppermint,6.5,2018,9,R,101.0,Pierre Morel,"Jennifer Garner, John Gallagher Jr , John Ortiz, Juan Pablo Raba","China, United States",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,27636502.14,59604996.15,31968494.009999998,0.5363391674340373
Bohemian Rhapsody,7.9,2018,11,PG-13,134.0,Bryan Singer,"Rami Malek, Lucy Boynton, Gwilym Lee, Ben Hardy","United Kingdom, United States",1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,57483924.46,1006863338.99,949379414.53,0.9429079178534169
Solo: A Star Wars Story,6.9,2018,5,PG-13,135.0,Ron Howard,"Alden Ehrenreich, Woody Harrelson, Emilia Clarke, Donald Glover",United States,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,304001523.57,434362690.82,130361167.25,0.3001205444323525
Bumblebee,6.7,2018,12,PG-13,114.0,Travis Knight,"Hailee Steinfeld, Jorge Lendeborg Jr , John Cena, Jason Drucker","China, United States",0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,149237111.57,517343873.07,368106761.5,0.7115320788774332
Fifty Shades Freed,4.5,2018,2,R,105.0,James Foley,"Dakota Johnson, Jamie Dornan, Eric Johnson, Eloise Mumford","United States, China",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,60800304.71,411214589.88,350414285.17,0.8521445828861699
Crazy Rich Asians,6.9,2018,8,PG-13,120.0,Jon M Chu,"Constance Wu, Henry Golding, Michelle Yeoh, Gemma Chan",United States,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,33163802.57,264032209.13,230868406.56,0.8743948600843947
The Favourite,7.5,2018,12,R,119.0,Yorgos Lanthimos,"Olivia Colman, Emma Stone, Rachel Weisz, Nicholas Hoult","Ireland, United Kingdom, United States",0,0,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16581901.29,106034300.95,89452399.66,0.843617573356577
Venom,6.6,2018,10,PG-13,112.0,Ruben Fleischer,"Tom Hardy, Michelle Williams, Riz Ahmed, Scott Haze","United States, China",0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,110546008.57,946367964.39,835821955.8199999,0.8831891899032586
Instant Family,7.3,2018,11,PG-13,118.0,Sean Anders,"Mark Wahlberg, Rose Byrne, Isabela Merced, Gustavo Escobar",United States,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53062084.11,133749235.49,80687151.38,0.6032718698121659
A Simple Favor,6.8,2018,9,R,117.0,Paul Feig,"Anna Kendrick, Blake Lively, Henry Golding, Andrew Rannells","Canada, United States",0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,22109201.71,107942226.68,85833024.97,0.7951756009671376
Incredibles 2,7.6,2018,6,PG,118.0,Brad Bird,"Craig T Nelson, Holly Hunter, Sarah Vowell, Huck Milner",United States,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221092017.14,1374185542.2,1153093525.06,0.8391105055682341
Climax,6.9,2018,9,R,97.0,Gaspar No,"Sofia Boutella, Romain Guillermic, Souheila Yacoub, Kiddy Smile","France, Belgium",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,3046648.0,1878357.98,-1168290.02,-0.6219741031472605
The Meg,5.6,2018,8,PG-13,113.0,Jon Turteltaub,"Jason Statham, Bingbing Li, Rainn Wilson, Cliff Curtis","United States, China",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,143709811.14,586465722.03,442755910.89,0.7549561624120826
Den of Thieves,7.0,2018,1,R,140.0,Christian Gudegast,"Gerard Butler, Pablo Schreiber, O Shea Jackson Jr , 50 Cent",United States,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,33163802.57,89000173.64,55836371.07,0.6273737318294967
The Witch: Part 1 - The Subversion,7.1,2018,6,Not Rated,125.0,Park Hoon jung,"Kim Da mi, Min soo Jo, Choi Woo sik, Go Min Si",South Korea,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,6080030.47,26910997.53,20830967.060000002,0.7740689298781264
The Vanishing,5.9,2018,1,R,107.0,Kristoffer Nyholm,"Peter Mullan, Gerard Butler, Emma King, Gary Lewis",United Kingdom,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0.0,1329340.07,0.0,0.0
Sicario: Day of the Soldado,7.0,2018,6,R,122.0,Stefano Sollima,"Benicio Del Toro, Josh Brolin, Isabela Merced, Jeffrey Donovan","United States, Mexico",0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,38691103.0,83835597.88,45144494.879999995,0.5384883751245932
Bad Times at the El Royale,7.1,2018,10,R,141.0,Drew Goddard,"Jeff Bridges, Cynthia Erivo, Dakota Johnson, Jon Hamm",United States,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,35374722.74,35245078.81,-129643.9299999997,-0.0036783555145070675
Mid90s,7.3,2018,10,R,85.0,Jonah Hill,"Sunny Suljic, Katherine Waterston, Lucas Hedges, Na kel Smith",United States,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1879282.15,10284119.5,8404837.35,0.817263680181857
Ocean's Eight,6.3,2018,6,PG-13,110.0,Gary Ross,"Sandra Bullock, Cate Blanchett, Anne Hathaway, Mindy Kaling",United States,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77382206.0,329201288.78,251819082.77999997,0.7649395411337125
Beautiful Boy,7.3,2018,10,R,120.0,Felix van Groeningen,"Steve Carell, Maura Tierney, Jack Dylan Grazer, Oakley Bull",United States,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27636502.14,35055597.42,7419095.280000001,0.2116379644343828
Fantastic Beasts: The Crimes of Grindelwald,6.5,2018,11,PG-13,134.0,David Yates,"Eddie Redmayne, Katherine Waterston, Dan Fogler, Johnny Depp","United Kingdom, United States",0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,221092017.14,723917060.44,502825043.3000001,0.6945892986613421
Robin Hood,5.3,2018,11,PG-13,116.0,Otto Bathurst,"Taron Egerton, Jamie Foxx, Ben Mendelsohn, Eve Hewson",United States,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,110546008.57,95614610.04,-14931398.529999986,-0.15616231163577923
The House That Jack Built,6.8,2018,10,R,152.0,Lars von Trier,"Matt Dillon, Bruno Ganz, Uma Thurman, Siobhan Fallon Hogan","Denmark, France, Sweden, Germany, Belgium, Tunisia",0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,10194552.91,3406931.81,-6787621.1,-1.9922973157481538
The Happytime Murders,5.4,2018,8,R,91.0,Brian Henson,"Melissa McCarthy, Elizabeth Banks, Maya Rudolph, Leslie David Baker","United States, China",0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44218403.43,30407284.79,-13811118.64,-0.454204271620531
Capernaum,8.4,2018,9,R,126.0,Nadine Labaki,"Zain Al Rafeea, Yordanos Shiferaw, Boluwatife Treasure Bankole, Kawsar Al Haddad","Lebanon, France, Cyprus, Qatar, United Kingdom",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4421840.34,71210425.66,66788585.31999999,0.9379045933370425
Game Night,6.9,2018,2,R,100.0,"John Francis Daley, Jonathan Goldstein","Jason Bateman, Rachel McAdams, Kyle Chandler, Sharon Horgan",United States,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40902023.17,130188077.63,89286054.46,0.6858235875773104
Night School,5.6,2018,9,PG-13,111.0,Malcolm D Lee,"Kevin Hart, Tiffany Haddish, Rob Riggle, Romany Malco","United States, China",0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32058342.49,113979432.73,81921090.24000001,0.7187357251905144
Maze Runner: The Death Cure,6.2,2018,1,PG-13,143.0,Wes Ball,"Dylan O Brien, Ki Hong Lee, Kaya Scodelario, Thomas Brodie Sangster",United States,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,68538525.31,318566330.52,250027805.20999998,0.7848532040466308
Jurassic World: Fallen Kingdom,6.1,2018,6,PG-13,128.0,J A Bayona,"Chris Pratt, Bryce Dallas Howard, Rafe Spall, Justice Smith","United States, China",0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,187928214.57,1448668183.88,1260739969.3100002,0.8702751833296514
Tomb Raider,6.3,2018,3,PG-13,119.0,Roar Uthaug,"Alicia Vikander, Dominic West, Walton Goggins, Daniel Wu","United Kingdom, United States",0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,103913248.06,303615500.22,199702252.16000003,0.6577472231005849
Sorry to Bother You,6.9,2018,7,R,112.0,Boots Riley,"LaKeith Stanfield, Tessa Thompson, Jermaine Fowler, Omari Hardwick",United States,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3537472.27,20086991.32,16549519.05,0.8238923782240177
The Predator,5.3,2018,9,R,107.0,Shane Black,"Boyd Holbrook, Trevante Rhodes, Jacob Tremblay, Keegan Michael Key","Canada, United States",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,97280487.54,177472921.21,80192433.67,0.45185729249990747
The Equalizer 2,6.7,2018,7,R,121.0,Antoine Fuqua,"Denzel Washington, Pedro Pascal, Ashton Sanders, Orson Bean",United States,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,68538525.31,210479773.87,141941248.56,0.6743700164162477
Hunter Killer,6.6,2018,10,R,121.0,Donovan Marsh,"Gerard Butler, Gary Oldman, Common, Linda Cardellini","United Kingdom, China, France, United States",0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,44218403.43,35016695.17,-9201708.259999998,-0.2627806026618816
Mandy,6.5,2018,9,Not Rated,121.0,Panos Cosmatos,"Nicolas Cage, Andrea Riseborough, Linus Roache, Ned Dennehy","United Kingdom, Belgium, United States",0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,6632760.51,1828192.2,-4804568.31,-2.6280433260791725
Under the Silver Lake,6.5,2018,4,R,139.0,David Robert Mitchell,"Andrew Garfield, Riley Keough, Topher Grace, Callie Hernandez",United States,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,9396410.73,2270028.02,-7126382.710000001,-3.139336892414218
BlacKkKlansman,7.5,2018,8,R,135.0,Spike Lee,"John David Washington, Adam Driver, Laura Harrier, Topher Grace","United States, China",0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16581901.29,103265126.76,86683225.47,0.8394239971395353
Vice,7.2,2018,12,R,132.0,Adam McKay,"Christian Bale, Amy Adams, Steve Carell, Sam Rockwell",United States,0,0,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,66327605.14,84096204.56,17768599.42,0.211288957842594
First Man,7.3,2018,10,PG-13,141.0,Damien Chazelle,"Ryan Gosling, Claire Foy, Jason Clarke, Kyle Chandler","United States, Japan, China",0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,65222145.06,116861743.03,51639597.97,0.4418862549118697
Outlaw King,6.9,2018,11,R,121.0,David Mackenzie,"Chris Pine, Stephen Dillane, Rebecca Robin, Billy Howle","United Kingdom, United States",0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,132655210.28,0.0,0.0,0.0
12 Strong,6.5,2018,1,R,130.0,Nicolai Fuglsig,"Chris Hemsworth, Michael Shannon, Michael Pe a, Navid Negahban",United States,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,38691103.0,74564183.73,35873080.730000004,0.4811033788004428
Lizzie,5.9,2018,9,R,105.0,Craig William Macneill,"Chlo Sevigny, Kristen Stewart, Jeff Perry, Fiona Shaw",United States,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,933877.2,0.0,0.0
High Life,5.8,2018,4,R,113.0,Claire Denis,"Robert Pattinson, Juliette Binoche, Andr 3000, Mia Goth","France, United Kingdom, Germany, Poland, United States",0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,9374301.53,2357982.84,-7016318.6899999995,-2.9755596906718793
The Nun,5.3,2018,9,R,96.0,Corin Hardy,"Demi n Bichir, Taissa Farmiga, Jonas Bloquet, Bonnie Aarons",United States,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,24320121.89,404137190.1,379817068.21000004,0.939822113663971
Ant-Man and the Wasp,7.0,2018,7,PG-13,118.0,Peyton Reed,"Paul Rudd, Evangeline Lilly, Michael Pe a, Walton Goggins","United States, Canada",0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179084533.88,688341407.06,509256873.17999995,0.7398318159517754
Night Hunter,5.9,2018,9,R,98.0,David Raymond,"Henry Cavill, Ben Kingsley, Alexandra Daddario, Stanley Tucci",Canada,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1119755.9,0.0,0.0
Burning,7.5,2018,5,Not Rated,148.0,Lee Chang dong,"Yoo Ah in, Steven Yeun, Jeon Jong seo, Kim Soo Kyung","South Korea, Japan",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0.0,8377246.17,0.0,0.0
Upgrade,7.5,2018,6,R,100.0,Leigh Whannell,"Logan Marshall Green, Melanie Vallejo, Steve Danielsen, Abby Craden","United States, Australia",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,5527300.43,18468567.9,12941267.469999999,0.7007185148340603
Tumbbad,8.2,2018,10,Not Rated,104.0,"Rahi Anil Barve, Anand Gandhi, Adesh Prasad","Sohum Shah, Jyoti Malshe, Anita Date Kelkar, Ronjini Chakraborty","India, Sweden",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0,1870416.36,0.0,0.0
Widows,6.8,2018,11,R,129.0,Steve McQueen,"Viola Davis, Michelle Rodriguez, Elizabeth Debicki","United Kingdom, United States",1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,46429323.6,83998052.97,37568729.37,0.4472571451557063
Truth or Dare,5.2,2018,4,PG-13,100.0,Jeff Wadlow,"Lucy Hale, Tyler Posey, Violett Beane, Hayden Szeto",United States,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3869110.3,105384294.85,101515184.55,0.9632857030024526
Isle of Dogs,7.8,2018,4,PG-13,101.0,Wes Anderson,"Bryan Cranston, Koyu Rankin, Edward Norton, Bob Balaban","United States, Germany, United Kingdom",0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,71122808.0,0.0,0.0
Mamma Mia! Here We Go Again,6.6,2018,7,PG-13,114.0,Ol Parker,"Lily James, Amanda Seyfried, Meryl Streep, Cher","United Kingdom, United States, Japan, China, Croatia",0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,82909506.43,444687727.82,361778221.39,0.8135556678470786
Mary Queen of Scots,6.3,2018,12,R,124.0,Josie Rourke,"Saoirse Ronan, Margot Robbie, Jack Lowden, Joe Alwyn","United Kingdom, United States, China",0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,27636502.14,51639145.84,24002643.700000003,0.46481488625645323
Mortal Engines,6.1,2018,12,PG-13,128.0,Christian Rivers,"Hera Hilmar, Robert Sheehan, Hugo Weaving, Jihae","United States, New Zealand, Japan, China",0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,110546008.57,92714736.19,-17831272.379999995,-0.19232403728635358
Creed II,7.1,2018,11,PG-13,130.0,Steven Caple Jr,"Michael B Jordan, Sylvester Stallone, Tessa Thompson, Phylicia Rashad",United States,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,55273004.28,236807115.01,181534110.73,0.7665906099245966
Mary Poppins Returns,6.7,2018,12,PG,130.0,Rob Marshall,"Emily Blunt, Lin Manuel Miranda, Ben Whishaw, Emily Mortimer",United States,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,143709811.14,386409308.09,242699496.95,0.6280891579699523
Overlord,6.6,2018,11,R,110.0,Julius Avery,"Jovan Adepo, Wyatt Russell, Mathilde Ollivier, Pilou Asb k","United States, Canada",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,42007483.26,46051083.8,4043600.539999999,0.08780684853284602
Searching,7.6,2018,8,PG-13,102.0,Aneesh Chaganty,"John Cho, Debra Messing, Joseph Lee, Michelle La","United States, Russia",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,972804.88,83420269.89,82447465.01,0.9883385071603968
Roma,7.7,2018,11,R,135.0,Alfonso Cuar n,"Yalitza Aparicio, Marina de Tavira, Diego Cortina Autrey, Carlos Peralta","Mexico, United States",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1261074.6,0.0,0.0
The Cloverfield Paradox,5.5,2018,2,PG-13,102.0,Julius Onah,"Gugu Mbatha Raw, David Oyelowo, Daniel Br hl, John Ortiz",United States,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,49745703.86,0.0,0.0,0.0
Rampage,6.1,2018,4,PG-13,107.0,Brad Peyton,"Dwayne Johnson, Naomie Harris, Malin Akerman, Jeffrey Dean Morgan",United States,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,132655210.28,473168127.13,340512916.85,0.7196446618570448
Mirage,7.4,2018,3,TV-MA,128.0,Oriol Paulo,"Adriana Ugarte, Chino Dar n, Javier Guti rrez, lvaro Morte",Spain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0.0,19152632.13,0.0,0.0
The Mule,7.0,2018,12,R,116.0,Clint Eastwood,"Clint Eastwood, Patrick L Reyes, Cesar De Le n, Gustavo Mu oz","United States, Canada",0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,55273004.28,193239294.74,137966290.46,0.7139660214845597
The Possession of Hannah Grace,5.2,2018,11,R,86.0,Diederik Van Rooijen,"Shay Mitchell, Grey Damon, Kirby Johnson, Nick Thune",United States,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,8512042.66,47553054.73,39041012.06999999,0.8209990355334633
The Girl in the Spider's Web,6.1,2018,11,R,115.0,Fede Alvarez,"Claire Foy, Beau Gadsdon, Sverrir Gudnason, LaKeith Stanfield","Germany, United Kingdom, Canada, Sweden, United States",0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,47534783.68,38873415.48,-8661368.200000003,-0.22280954974116424
Incident in a Ghostland,6.4,2018,6,Not Rated,91.0,Pascal Laugier,"Crystal Reed, Myl ne Farmer, Anastasia Phillips, Emilia Jones","Canada, France",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0,6239169.19,0.0,0.0
The Guernsey Literary and Potato Peel Pie Society,7.3,2018,8,TV-14,124.0,Mike Newell,"Jessica Brown Findlay, Tom Courtenay, Michiel Huisman, Katherine Parkinson","United Kingdom, France, United States",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0,25590225.88,0.0,0.0
How It Ends,5.0,2018,7,TV-MA,113.0,David M Rosenthal,"Theo James, Kat Graham, Nancy Sorel, Nicole Ari Parker",United States,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,22109201.71,0.0,0.0,0.0
Pacific Rim: Uprising,5.6,2018,3,PG-13,111.0,Steven S DeKnight,"John Boyega, Scott Eastwood, Cailee Spaeny, Burn Gorman","United Kingdom, China, Japan, United States, Mexico",0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,165819012.85,321611666.34,155792653.48999998,0.4844123201839942
A Bad Moms Christmas,5.6,2017,11,R,104.0,"Jon Lucas, Scott Moore","Mila Kunis, Kristen Bell, Kathryn Hahn, Jay Hernandez","United States, China",0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31612209.75,147403701.24,115791491.49000001,0.7855399187125595
Blade Runner 2049,8.0,2017,10,R,164.0,Denis Villeneuve,"Harrison Ford, Ryan Gosling, Ana de Armas, Dave Bautista","United States, United Kingdom, Canada, Spain",1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,169351123.65,302315135.2,132964011.54999998,0.4398192351899158
Murder on the Orient Express,6.5,2017,11,PG-13,114.0,Kenneth Branagh,"Kenneth Branagh, Pen lope Cruz, Willem Dafoe, Judi Dench","United Kingdom, Malta, United States",0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,62095412.0,398307160.22,336211748.22,0.8441016928600973
Get Out,7.7,2017,2,R,104.0,Jordan Peele,"Daniel Kaluuya, Allison Williams, Bradley Whitford, Catherine Keener","United States, Japan",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,5080533.71,288738198.04,283657664.33000004,0.982404358881203
Beauty and the Beast,7.1,2017,3,PG,129.0,Bill Condon,"Emma Watson, Dan Stevens, Luke Evans, Josh Gad",United States,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,180641198.56,1474045275.58,1293404077.02,0.8774520691103452
Call Me by Your Name,7.8,2017,1,R,132.0,Luca Guadagnino,"Timoth e Chalamet, Armie Hammer, Michael Stuhlbarg, Amira Casar","Italy, France, United States, Brazil",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4786991.76,48708822.12,43921830.36,0.9017222845543941
Logan,8.1,2017,3,R,137.0,James Mangold,"Hugh Jackman, Patrick Stewart, Dafne Keen, Boyd Holbrook",United States,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,109513726.63,699058801.82,589545075.19,0.843341180534626
Transformers: The Last Knight,5.2,2017,6,PG-13,154.0,Michael Bay,"Mark Wahlberg, Anthony Hopkins, Josh Duhamel, Laura Haddock","United States, China, Canada",0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,244994625.54,683529537.48,438534911.94000006,0.6415741937894404
The Shape of Water,7.3,2017,12,R,123.0,Guillermo del Toro,"Sally Hawkins, Octavia Spencer, Michael Shannon, Doug Jones","United States, Mexico",1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,21902745.33,220532772.49,198630027.16000003,0.9006825829889153
"Three Billboards Outside Ebbing, Missouri",8.1,2017,12,R,115.0,Martin McDonagh,"Frances McDormand, Woody Harrelson, Sam Rockwell, Caleb Landry Jones","United Kingdom, United States",0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16935112.36,182414321.76,165479209.39999998,0.9071612788041867
The Square,7.1,2017,8,R,151.0,Ruben stlund,"Claes Bang, Elisabeth Moss, Dominic West, Terry Notary","Sweden, Germany, France, Denmark",0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,10726723.88,0.0,0.0
Wind River,7.7,2017,8,R,107.0,Taylor Sheridan,"Elizabeth Olsen, Jeremy Renner, Graham Greene, Kelsey Asbille","United States, United Kingdom, France",0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,12419082.4,49905159.1,37486076.7,0.7511463218639454
It,7.3,2017,9,R,135.0,Andy Muschietti,"Bill Skarsg rd, Jaeden Martell, Finn Wolfhard, Sophia Lillis","United States, Canada",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,39515262.18,792385497.57,752870235.3900001,0.9501312652727985
Dunkirk,7.8,2017,7,PG-13,106.0,Christopher Nolan,"Fionn Whitehead, Barry Keoghan, Mark Rylance, Tom Hardy","United Kingdom, Netherlands, France, United States",1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,112900749.1,595005358.47,482104609.37,0.8102525506823777
