Title,Rating,Year,Month,Certificate,Runtime,Directors,Stars,Country_of_origin,top_50_director_1,top_50_director_2,top_1000_Stars_1,top_1000_Stars_2,top_1000_Stars_3,top_1000_Stars_4,genre_Action,genre_Adventure,genre_Animation,genre_Biography,genre_Comedy,genre_Crime,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Musical,genre_Mystery,genre_Romance,genre_Sci-Fi,genre_Sport,genre_Thriller,genre_War,genre_Western,Budget_inf,Income_inf,Profit_inf,ROI_inf
Triangle of Sadness,7.6,2022,9,R,147.0,Ruben stlund,"Thobias Thorwid, Harris Dickinson, Charlbi Dean, Jiannis Moustos","Sweden, France, United Kingdom, Germany, Turkey, Greece, United States, Denmark, Switzerland, Mexico",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10600000.0,17211145.0,6611145.0,0.38411999898902716
Everything Everywhere All at Once,8.1,2022,3,R,139.0,"Dan Kwan, Daniel Scheinert","Michelle Yeoh, Stephanie Hsu, Jamie Lee Curtis, Ke Huy Quan",United States,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25000000.0,103384361.0,78384361.0,0.7581839288052474
Emily the Criminal,6.7,2022,8,R,97.0,John Patton Ford,"Aubrey Plaza, Theo Rossi, Bernardo Badillo, John Billingsley",United States,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3000000.0,2156296.0,-843704.0,-0.3912746672998512
God's Crooked Lines,7.0,2022,12,TV-MA,154.0,Oriol Paulo,"B rbara Lennie, Eduard Fern ndez, Loreto Maule n, Javier Beltr n",Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,6060070.0,0.0,0.0
Don't Worry Darling,6.2,2022,9,R,123.0,Olivia Wilde,"Florence Pugh, Harry Styles, Chris Pine, Olivia Wilde",United States,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,20000000.0,86709403.0,66709403.0,0.7693445081152271
Top Gun: Maverick,8.4,2022,5,PG-13,130.0,Joseph Kosinski,"Tom Cruise, Jennifer Connelly, Miles Teller, Val Kilmer",United States,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,170000000.0,1488732821.0,1318732821.0,0.8858089258179926
Smile,6.6,2022,9,R,115.0,Parker Finn,"Sosie Bacon, Jessie T Usher, Kyle Gallner, Robin Weigert",United States,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,17000000.0,216135048.0,199135048.0,0.921345472854546
The Batman,7.8,2022,3,PG-13,176.0,Matt Reeves,"Robert Pattinson, Zo Kravitz, Jeffrey Wright, Colin Farrell",United States,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,200000000.0,770836163.0,570836163.0,0.7405414929916826
Barbarian,7.1,2022,9,R,102.0,Zach Cregger,"Georgina Campbell, Bill Skarsg rd, Justin Long, Matthew Patrick Davis",United States,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,4500000.0,45352337.0,40852337.0,0.9007768883001553
She Said,7.2,2022,11,R,129.0,Maria Schrader,"Carey Mulligan, Zoe Kazan, Patricia Clarkson, Andre Braugher",United States,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,32000000.0,11110294.0,-20889706.0,-1.8802118107765644
Ticket to Paradise,6.2,2022,10,PG-13,104.0,Ol Parker,"George Clooney, Sean Lynch, Julia Roberts, Arielle Carver O Neill","United States, United Kingdom",0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,60000000.0,167456898.0,107456898.0,0.6416988447976625
Prey for the Devil,5.2,2022,10,PG-13,93.0,Daniel Stamm,"Jacqueline Byers, Debora Zhecheva, Christian Navarro, Posy Taylor",United States,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0,43300652.0,0.0,0.0
The Northman,7.1,2022,4,R,137.0,Robert Eggers,"Alexander Skarsg rd, Nicole Kidman, Claes Bang, Ethan Hawke","United States, China, United Kingdom",0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,60000000.0,69633110.0,9633110.0,0.13834094154346976
The Pale Blue Eye,7.6,2022,1,R,128.0,Scott Cooper,"Christian Bale, Harry Melling, Fred Hechinger, Gillian Anderson",United States,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,72000000.0,0.0,0.0,0.0
Puss in Boots: The Last Wish,7.7,2022,12,PG,100.0,"Joel Crawford, Januel Mercado","Antonio Banderas, Salma Hayek, Harvey Guill n, Florence Pugh",United States,0,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,28563190.0,0.0,0.0
Tár,7.8,2022,10,R,158.0,Todd Field,"Cate Blanchett, No mie Merlant, Nina Hoss, Sophie Kauer",United States,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,35000000.0,5493533.0,-29506467.0,-5.371127651367527
Christmas Bloody Christmas,5.2,2022,12,Not Rated,86.0,Joe Begos,"Riley Dandy, Sam Delich, Jonah Ray, Dora Madison",United States,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,190662.0,0.0,0.0
Kantara,8.5,2022,9,,148.0,Rishab Shetty,"Rishab Shetty, Kishore Kumar G , Achyuth Kumar, Sapthami Gowda",India,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2000000.0,2406221.0,406221.0,0.1688211515068649
Nope,6.9,2022,7,R,130.0,Jordan Peele,"Daniel Kaluuya, Keke Palmer, Steven Yeun, Brandon Perea","United States, Canada, Japan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,68000000.0,171235592.0,103235592.0,0.602886297143178
Where the Crawdads Sing,7.1,2022,7,PG-13,125.0,Olivia Newman,"Daisy Edgar Jones, Taylor John Smith, Harris Dickinson, David Strathairn",United States,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,24000000.0,140230760.0,116230760.0,0.8288535268581586
Scream,6.3,2022,1,R,114.0,"Matt Bettinelli Olpin, Tyler Gillett","Neve Campbell, Courteney Cox, David Arquette, Melissa Barrera",United States,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,24000000.0,140041405.0,116041405.0,0.8286221135813369
Strange World,5.1,2022,11,PG,102.0,"Don Hall, Qui Nguyen","Jake Gyllenhaal, Jaboukie Young White, Gabrielle Union, Dennis Quaid",United States,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120000000.0,62170845.0,-57829155.0,-0.9301651762976682
Doctor G,6.9,2022,10,,124.0,Anubhuti Kashyap,"Rakul Preet Singh, Ayushmann Khurrana, Shefali Shah, Ayesha Kaduskar",India,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2171942.0,0.0,0.0
This Is Christmas,6.9,2022,12,,111.0,Chris Foggin,"Alfred Enoch, Laura Aikman, Kriss Dillon, Jack Donoghue",United Kingdom,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9000000.0,0.0,0.0,0.0
Pearl,7.0,2022,9,R,103.0,Ti West,"Mia Goth, David Corenswet, Tandi Wright, Matthew Sunderland","United States, Canada",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,9423445.0,0.0,0.0
The Woman King,6.7,2022,9,PG-13,135.0,Gina Prince Bythewood,"Viola Davis, Thuso Mbedu, Lashana Lynch, Sheila Atim",United States,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,50000000.0,92272486.0,42272486.0,0.45812666193907464
