Title,Rating,Year,Month,Certificate,Runtime,Directors,Stars,Filming_location,Budget,Income,Country_of_origin, Action, Adventure, Biography, Comedy, Crime, Drama, Family, Fantasy, History, Horror, Music, Musical, Mystery, Romance, Sci-Fi, Sport, Thriller, War, Western,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Horror,Mystery,Romance,Sci-Fi,Thriller
Ford v Ferrari,8.1,2019,November,PG-13,152,James Mangold,"Matt Damon, Christian Bale, Jon Bernthal, Caitr ona Balfe",USA,"$97,600,000 ","$225,508,210 ",United States,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Shazam!,7.0,2019,April,PG-13,132,David F Sandberg,"Zachary Levi, Mark Strong, Asher Angel, Jack Dylan Grazer",Canada,"$100,000,000 ","$366,080,049 ","United States, Canada",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Five Feet Apart,7.2,2019,March,PG-13,116,Justin Baldoni,"Haley Lu Richardson, Cole Sprouse, Moises Arias, Kimberly Hebert Gregory",USA,"$7,000,000 ","$92,559,910 ",United States,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Uncut Gems,7.4,2019,December,R,135,"Benny Safdie, Josh Safdie","Adam Sandler, Julia Fox, Idina Menzel, Mesfin Lamengo",South Africa,"$19,000,000 ","$50,023,780 ",United States,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Pinocchio,6.2,2019,December,PG-13,125,Matteo Garrone,"Federico Ielapi, Roberto Benigni, Rocco Papaleo, Massimo Ceccherini",Italy,"€ 14,750,000","$23,841,090 ","Italy, France, United Kingdom",0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Polar,6.3,2019,January,TV-MA,118,Jonas kerlund,"Mads Mikkelsen, Vanessa Hudgens, Katheryn Winnick, Fei Ren",Canada,Unknown,Unknown,"United States, Germany",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Jojo Rabbit,7.9,2019,November,PG-13,108,Taika Waititi,"Roman Griffin Davis, Thomasin McKenzie, Scarlett Johansson, Taika Waititi",Czech Republic,"$14,000,000 ","$90,335,025 ","New Zealand, United States, Czech Republic",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Let It Snow,5.8,2019,November,PG-13,92,Luke Snellin,"Isabela Merced, Shameik Moore, Odeya Rush, Liv Hewson",Canada,Unknown,Unknown,United States,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
The Lighthouse,7.4,2019,November,R,109,Robert Eggers,"Robert Pattinson, Willem Dafoe, Valeriia Karaman, Logan Hawkes",Canada,"$11,000,000 ","$18,129,854 ","United States, Brazil, Canada",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
The King,7.3,2019,November,R,140,David Mich d,"Tom Glynn Carney, G bor Czap, Tom Fisher, Edward Ashley",Hungary,Unknown,"$126,931 ","United Kingdom, Hungary, United States, Australia",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Us,6.8,2019,March,R,116,Jordan Peele,"Lupita Nyong o, Winston Duke, Elisabeth Moss, Tim Heidecker",USA,"$20,000,000 ","$256,067,149 ","United States, China, Japan",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
John Wick: Chapter 3 - Parabellum,7.4,2019,May,R,130,Chad Stahelski,"Keanu Reeves, Halle Berry, Ian McShane, Laurence Fishburne",Morocco,"$75,000,000 ","$328,349,387 ",United States,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Cats,2.8,2019,December,PG,110,Tom Hooper,"James Corden, Judi Dench, Jason Derulo, Idris Elba",UK,"$95,000,000 ","$75,558,925 ","United Kingdom, United States, Canada, Australia, Japan, China",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Doctor Sleep,7.3,2019,November,R,152,Mike Flanagan,"Ewan McGregor, Rebecca Ferguson, Kyliegh Curran, Cliff Curtis",USA,"$45,000,000 ","$72,381,712 ",United States,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
The Platform,7.0,2019,March,TV-MA,94,Galder Gaztelu Urrutia,"Ivan Massagu , Zorion Eguileor, Antonia San Juan, Emilio Buale",Unknown,Unknown,"$1,090,116 ",Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Hustlers,6.3,2019,September,R,110,Lorene Scafaria,"Constance Wu, Jennifer Lopez, Julia Stiles, Mette Narrative",USA,"$20,000,000 ","$157,563,598 ",United States,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Frozen II,6.8,2019,November,PG,103,"Chris Buck, Jennifer Lee","Kristen Bell, Idina Menzel, Josh Gad, Jonathan Groff",USA,"$150,000,000 ","$1,450,026,933 ",United States,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ad Astra,6.5,2019,September,PG-13,123,James Gray,"Brad Pitt, Tommy Lee Jones, Ruth Negga, Donald Sutherland",USA,"$90,000,000 ","$127,461,872 ","United States, China, Brazil",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Aladdin,6.9,2019,May,PG,128,Guy Ritchie,"Will Smith, Mena Massoud, Naomi Scott, Marwan Kenzari",Jordan,"$183,000,000 ","$1,050,693,953 ","United States, United Kingdom",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ready or Not,6.8,2019,August,R,95,"Matt Bettinelli Olpin, Tyler Gillett","Samara Weaving, Adam Brody, Mark O Brien, Henry Czerny",Canada,"$6,000,000 ","$57,615,777 ",United States,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Captain Marvel,6.8,2019,March,PG-13,123,"Anna Boden, Ryan Fleck","Brie Larson, Samuel L Jackson, Ben Mendelsohn, Jude Law",USA,"$160,000,000 ","$1,128,462,972 ","United States, Australia",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Glass,6.6,2019,January,PG-13,129,M Night Shyamalan,"James McAvoy, Bruce Willis, Samuel L Jackson, Anya Taylor Joy",USA,"$20,000,000 ","$246,999,039 ","United States, China",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Spider-Man: Far from Home,7.4,2019,July,PG-13,129,Jon Watts,"Tom Holland, Samuel L Jackson, Jake Gyllenhaal, Marisa Tomei",Czech Republic,"$160,000,000 ","$1,131,927,996 ",United States,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6 Underground,6.1,2019,December,R,128,Michael Bay,"Ryan Reynolds, M lanie Laurent, Manuel Garcia Rulfo, Ben Hardy",Hungary,"$150,000,000 ",Unknown,United States,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
A Beautiful Day in the Neighborhood,7.2,2019,November,PG,109,Marielle Heller,"Matthew Rhys, Tom Hanks, Chris Cooper, Susan Kelechi Watson",USA,"$25,000,000 ","$67,925,733 ","China, United States",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Lion King,6.8,2019,July,PG,118,Jon Favreau,"Donald Glover, Beyonc , Seth Rogen, Chiwetel Ejiofor",South Africa,"$260,000,000 ","$1,663,250,487 ","United States, United Kingdom",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Jumanji: The Next Level,6.7,2019,December,PG-13,123,Jake Kasdan,"Dwayne Johnson, Jack Black, Kevin Hart, Karen Gillan",Canada,"$125,000,000 ","$801,693,929 ",United States,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Marriage Story,7.9,2019,December,R,137,Noah Baumbach,"Adam Driver, Scarlett Johansson, Julia Greer, Azhy Robertson",USA,"$18,600,000 ","$333,686 ","United Kingdom, United States",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Portrait of a Lady on Fire,8.1,2019,February,R,122,C line Sciamma,"No mie Merlant, Ad le Haenel, Lu na Bajrami, Valeria Golino",France,Unknown,"$10,067,884 ",France,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Black Christmas,3.5,2019,December,PG-13,92,Sophia Takal,"Imogen Poots, Aleyse Shannon, Lily Donoghue, Brittany O Grady",New Zealand,"$5,000,000 ","$18,529,730 ","United States, New Zealand, Canada",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
El Camino: A Breaking Bad Movie,7.3,2019,October,TV-MA,122,Vince Gilligan,"Aaron Paul, Jonathan Banks, Matt Jones, Charles Baker",USA,"$6,000,000 ",Unknown,United States,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
It Chapter Two,6.5,2019,September,R,169,Andy Muschietti,"Jessica Chastain, James McAvoy, Bill Hader, Isaiah Mustafa",Canada,"$79,000,000 ","$473,122,525 ","United States, Canada",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Bombshell,6.8,2019,December,R,109,Jay Roach,"Charlize Theron, Nicole Kidman, Margot Robbie, John Lithgow",USA,"$32,000,000 ","$61,404,394 ","Canada, United States",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Escape Room,6.4,2019,January,PG-13,99,Adam Robitel,"Taylor Russell, Logan Miller, Jay Ellis, Tyler Labine",USA,"$9,000,000 ","$155,712,077 ","United States, South Africa",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Anna,6.6,2019,June,R,118,Luc Besson,"Sasha Luss, Helen Mirren, Luke Evans, Cillian Murphy",Serbia,"€ 30,690,000","$31,626,978 ","France, United States, Canada, Russia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Fast & Furious Presents: Hobbs & Shaw,6.5,2019,August,PG-13,137,David Leitch,"Dwayne Johnson, Jason Statham, Idris Elba, Vanessa Kirby",USA,"$200,000,000 ","$760,732,926 ","United States, Japan",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Downton Abbey,7.4,2019,September,PG,122,Michael Engler,"Stephen Campbell Moore, Michael Fox, Lesley Nicol, Sophie McShera",UK,"$13,000,000 ","$194,694,725 ","United Kingdom, United States, China",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Queen of Hearts,7.1,2019,November,Not Rated,127,May el Toukhy,"Trine Dyrholm, Gustav Lindh, Magnus Krepper, Liv Esm r Dannemann",Denmark,"DKK 19,500,000","$437,005 ","Denmark, Sweden",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Hellboy,5.2,2019,April,R,120,Neil Marshall,"David Harbour, Milla Jovovich, Ian McShane, Sasha Lane",Bulgaria,"$50,000,000 ","$55,065,289 ","United States, United Kingdom, Bulgaria, Canada, Portugal, France",0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
The Knight Before Christmas,5.6,2019,November,TV-PG,92,Monika Mitchell,"Vanessa Hudgens, Josh Whitehouse, Emmanuelle Chriqui, Ella Kenion",Canada,Unknown,Unknown,United States,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Brightburn,6.1,2019,May,R,90,David Yarovesky,"Elizabeth Banks, David Denman, Jackson A Dunn, Abraham Clinkscales",USA,"$6,000,000 ","$33,224,654 ",United States,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Toy Story 4,7.7,2019,June,G,100,Josh Cooley,"Tom Hanks, Tim Allen, Annie Potts, Tony Hale",USA,"$200,000,000 ","$1,073,394,593 ",United States,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Booksmart,7.1,2019,May,R,102,Olivia Wilde,"Kaitlyn Dever, Beanie Feldstein, Jessica Williams, Jason Sudeikis",USA,"$6,000,000 ","$24,959,607 ",United States,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Yesterday,6.8,2019,June,PG-13,116,Danny Boyle,"Himesh Patel, Lily James, Sophia Di Martino, Ellise Chappell",UK,"$26,000,000 ","$154,608,668 ","United Kingdom, China, Japan, United States",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Charlie's Angels,4.9,2019,November,PG-13,118,Elizabeth Banks,"Kristen Stewart, Naomi Scott, Ella Balinska, Elizabeth Banks",Turkey,"$48,000,000 ","$73,279,888 ","United States, China, Germany",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Dead Don't Die,5.4,2019,June,R,104,Jim Jarmusch,"Bill Murray, Adam Driver, Tom Waits, Chlo Sevigny",USA,Unknown,"$15,325,468 ",United States,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Triple Frontier,6.4,2019,March,R,125,J C Chandor,"Ben Affleck, Oscar Isaac, Charlie Hunnam, Garrett Hedlund",Colombia,"$115,000,000 ",Unknown,United States,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Midway,6.7,2019,November,PG-13,138,Roland Emmerich,"Ed Skrein, Patrick Wilson, Woody Harrelson, Luke Evans",Canada,"$100,000,000 ","$127,420,861 ","United States, Canada",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
X-Men: Dark Phoenix,5.7,2019,June,PG-13,113,Simon Kinberg,"James McAvoy, Michael Fassbender, Jennifer Lawrence, Nicholas Hoult",Canada,"$200,000,000 ","$252,442,974 ","United States, Canada",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Sound of Metal,7.7,2019,December,R,120,Darius Marder,"Riz Ahmed, Olivia Cooke, Paul Raci, Lauren Ridloff",Belgium,"$5,400,000 ","$516,520 ",United States,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Jexi,6.0,2019,October,R,84,"Jon Lucas, Scott Moore","Adam Devine, Alexandra Shipp, Rose Byrne, Ron Funches",USA,"$5,000,000 ","$9,341,824 ","United States, Canada",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Fighting with My Family,7.1,2019,February,PG-13,108,Stephen Merchant,"Dwayne Johnson, Lena Headey, Vince Vaughn, Florence Pugh",UK,"$11,000,000 ","$41,503,392 ","United Kingdom, United States",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Zombieland: Double Tap,6.7,2019,October,R,99,Ruben Fleischer,"Woody Harrelson, Jesse Eisenberg, Emma Stone, Abigail Breslin",USA,"$42,000,000 ","$122,810,399 ",United States,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Vivarium,5.8,2019,March,R,97,Lorcan Finnegan,"Imogen Poots, Danielle Ryan, Molly McCann, Jesse Eisenberg",Ireland,"$4,000,000 ","$487,625 ","Ireland, Belgium, Denmark",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Peanut Butter Falcon,7.6,2019,August,PG-13,97,"Tyler Nilson, Michael Schwartz","Zack Gottsagen, Ann Pierce, Dakota Johnson, Bruce Dern",USA,"$6,200,000 ","$133,031,473 ",United States,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"The Gangster, the Cop, the Devil",6.9,2019,May,Not Rated,109,Won Tae Lee,"Ma Dong seok, Jeon Bae soo, Mu Yeol Kim, Kim Sungkyu",South Korea,Unknown,"$25,775,371 ","South Korea, United States",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Aftermath,6.3,2019,March,R,108,James Kent,"Keira Knightley, Ned Wills, Pandora Colin, Jason Clarke",Czech Republic,Unknown,"$9,215,591 ","Germany, United Kingdom, United States",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Cold Pursuit,6.2,2019,February,R,119,Hans Petter Moland,"Liam Neeson, Laura Dern, Miche l Richardson, Michael Eklund",Canada,"$60,000,000 ","$76,419,755 ","United Kingdom, Norway, China, Canada, United States, France",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Angel Has Fallen,6.4,2019,August,R,121,Ric Roman Waugh,"Gerard Butler, Frederick Schmidt, Danny Huston, Rocci Williams",Bulgaria,"$40,000,000 ","$146,661,977 ",United States,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Rocketman,7.3,2019,May,R,121,Dexter Fletcher,"Taron Egerton, Jamie Bell, Richard Madden, Bryce Dallas Howard",UK,"$40,000,000 ","$195,320,400 ","United Kingdom, United States, Canada",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Fractured,6.4,2019,October,TV-MA,99,Brad Anderson,"Sam Worthington, Lily Rabe, Lucy Capri, Adjoa Andoh",Canada,Unknown,Unknown,United States,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
The Lodge,6.0,2019,January,R,108,"Severin Fiala, Veronika Franz","Riley Keough, Jaeden Martell, Lia McHugh, Richard Armitage",Canada,Unknown,"$3,155,858 ","United Kingdom, United States",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Rambo: Last Blood,6.1,2019,September,R,89,Adrian Grunberg,"Sylvester Stallone, Paz Vega, Sergio Peris Mencheta, Adriana Barraza",Spain,"$50,000,000 ","$91,490,353 ","United States, Hong Kong, France, Bulgaria, Spain, Sweden",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Murder Mystery,6.0,2019,June,PG-13,97,Kyle Newacheck,"Adam Sandler, Jennifer Aniston, Luke Evans, Terence Stamp",Canada,Unknown,Unknown,"United States, Italy, Canada",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Goldfinch,6.4,2019,September,R,149,John Crowley,"Oakes Fegley, Ansel Elgort, Nicole Kidman, Jeffrey Wright",USA,"$45,000,000 ","$9,932,621 ",United States,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Richard Jewell,7.5,2019,December,R,131,Clint Eastwood,"Paul Walter Hauser, Sam Rockwell, Brandon Stanley, Ryan Boz",Georgia,"$45,000,000 ","$44,655,962 ",United States,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Godzilla: King of the Monsters,6.0,2019,May,PG-13,132,Michael Dougherty,"Kyle Chandler, Vera Farmiga, Millie Bobby Brown, Ken Watanabe",Mexico,"$170,000,000 ","$386,600,138 ","United States, Japan, Mexico",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
In the Shadow of the Moon,6.2,2019,September,TV-MA,115,Jim Mickle,"Boyd Holbrook, Cleopatra Coleman, Bokeem Woodbine, Michael C Hall",Canada,Unknown,Unknown,"United States, Canada",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Dirt,7.0,2019,March,TV-MA,107,Jeff Tremaine,"Douglas Booth, Iwan Rheon, Colson Baker, Daniel Webber",USA,Unknown,Unknown,United States,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Curiosa,5.4,2019,April,,107,Lou Jeunet,"No mie Merlant, Niels Schneider, Benjamin Lavernhe, Cam lia Jordana",France,Unknown,"$114,949 ",France,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Waves,7.5,2019,November,R,135,Trey Edward Shults,"Taylor Russell, Kelvin Harrison Jr , Alexa Demie, Bill Wise",USA,"$6,000,000 ","$2,576,990 ","United States, Canada",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12 Pups of Christmas,4.0,2019,December,Unrated,85,Michael Feifer,"Charlotte Sullivan, Donny Boaz, Elizabeth Small, Philip Boyd",USA,Unknown,Unknown,United States,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Holiday in the Wild,6.1,2019,November,TV-PG,85,Ernie Barbarash,"Rob Lowe, Kristin Davis, Fezile Mpela, John Owen Lowe",South Africa,Unknown,Unknown,United States,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
The Informer,6.6,2019,August,R,113,Andrea Di Stefano,"Joel Kinnaman, Rosamund Pike, Common, Mateusz Kosciukiewicz",UK,"$60,000,000 ","$2,927,708 ","United Kingdom, Canada, United States",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Art of Racing in the Rain,7.5,2019,August,PG,109,Simon Curtis,"Kevin Costner, Milo Ventimiglia, Jackie Minns, Marcus Hondro",Canada,"$18,000,000 ","$33,766,787 ",United States,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Late Night,6.5,2019,June,R,102,Nisha Ganatra,"Emma Thompson, Mindy Kaling, John Lithgow, Hugh Dancy",USA,"$4,000,000 ","$22,386,555 ",United States,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
The Outpost,6.8,2019,July,R,123,Rod Lurie,"Scott Eastwood, Caleb Landry Jones, Orlando Bloom, Jack Kesy",Bulgaria,"$18,000,000 ","$2,327,336 ",United States,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yes, God, Yes",6.1,2019,July,R,78,Karen Maine,"Natalia Dyer, Timothy Simons, Wolfgang Novogratz, Francesca Reale",Unknown,Unknown,$305 ,United States,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Extremely Wicked, Shockingly Evil and Vile",6.7,2019,May,R,110,Joe Berlinger,"Lily Collins, Zac Efron, Angela Sarafyan, Sydney Vollmer",USA,Unknown,"$9,816,572 ",United States,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Dreamland,5.8,2019,November,R,98,Miles Joris Peyrafitte,"Finn Cole, Margot Robbie, Travis Fimmel, Kerry Condon",USA,Unknown,"$320,814 ",United States,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Motherless Brooklyn,6.8,2019,November,R,144,Edward Norton,"Edward Norton, Gugu Mbatha Raw, Alec Baldwin, Willem Dafoe",USA,"$26,000,000 ","$18,477,736 ",United States,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
The Grinch,6.3,2018,November,PG,85,"Yarrow Cheney, Scott Mosier","Benedict Cumberbatch, Cameron Seely, Rashida Jones, Pharrell Williams",USA,"$75,000,000 ","$513,488,839 ",United States,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Spider-Man: Into the Spider-Verse,8.4,2018,December,PG,117,"Bob Persichetti, Peter Ramsey, Rodney Rothman","Shameik Moore, Jake Johnson, Hailee Steinfeld, Mahershala Ali",Unknown,"$90,000,000 ","$384,256,930 ",United States,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Christmas Chronicles,7.0,2018,November,PG,104,Clay Kaytis,"Kurt Russell, Darby Camp, Judah Lewis, Oliver Hudson",Canada,Unknown,Unknown,United States,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
